"id","tweet_text","date_created","twitter_name","real_name","profile_pic","embedded_pic"
"98","Reaaaddyy!! 🍻🍺🍻🍺🍻🍺 #DrinkUpPh @ Bonifacio High Street http://t.co/CW24ZzBiD3","Sat May 24 09:35:33 +0000 2014","unicahijakp","Maria Kp Padua","https://pbs.twimg.com/profile_images/466246853206368256/VspIlUYt_normal.jpeg","http://photos-f.ak.instagram.com/hphotos-ak-ash/10413801_648805191870613_475303812_n.jpg"
"97","If you guys love beer, head to #DrinkUpPH at The Fort! Let's start enjoying this weekend!","Sat May 24 09:34:39 +0000 2014","mxspno","MΔRC","https://pbs.twimg.com/profile_images/469516769279762433/bCJRiD3j_normal.jpeg",""
"96","RT @ImaginaryEricPo: We are unstable. #Autotelic #DrinkUpPH #AngCuteNiNeilTin #ParangOrientalGarfield http://t.co/KSWOVFBpil","Sat May 24 09:34:08 +0000 2014","gojira99","Gep Macadaeg","https://pbs.twimg.com/profile_images/419298100390264832/KApMByZb_normal.jpeg","http://scontent-a.cdninstagram.com/hphotos-prn/t50.2886-16/10413674_1499664060252488_210443489_n.mp4"
"95","@gojira99 @neiltin88 I wish I could see this! Alas, am heading elsewhere before Route #DrinkUpPH","Sat May 24 09:32:15 +0000 2014","renaguila","Ren Aguila","https://pbs.twimg.com/profile_images/378800000802363083/db8c0c2a374f2b631a1cbdc76aa68a42_normal.jpeg",""
"94","We're already here!!!! Let's get this started!!! #DrinkupPH http://t.co/IvzyiBT5Wr","Sat May 24 09:29:41 +0000 2014","princessmabie","Mabel","https://pbs.twimg.com/profile_images/3501501632/fe6c02669aa51a48b53294776ec3f379_normal.jpeg","http://pbs.twimg.com/media/BoZA3VJIgAA6QSO.jpg"
"93","RT @__Shaun: off to the Philippines' ultimate drinking festival at The Fort… 🍺🍺🍺 #DrinkUpPH","Sat May 24 09:29:36 +0000 2014","eenasmag","Janina","https://pbs.twimg.com/profile_images/2729499259/249a0834c9103649b260290d3e6dadba_normal.jpeg",""
"92","I nominate @neiltin88 to join this eating contest. #DrinkUpPH","Sat May 24 09:29:10 +0000 2014","gojira99","Gep Macadaeg","https://pbs.twimg.com/profile_images/419298100390264832/KApMByZb_normal.jpeg",""
"91","🍺 🍺 🍺  beer number 3! #DrinkUpPH #yolo http://t.co/Yxd5J81s2L","Sat May 24 09:28:35 +0000 2014","thecandieshop","Candie Cobiao","https://pbs.twimg.com/profile_images/2834270067/60a526e1c5d0f6b0de215b83a72c4894_normal.jpeg","http://photos-c.ak.instagram.com/hphotos-ak-prn/10413160_1511639065723682_1371229911_n.jpg"
"90","@kaleevelasco @maljasteffilee @DrinkUpPH WHY ARENT WE GOING","Sat May 24 09:27:01 +0000 2014","Insanitymyass","JM Mañego","https://pbs.twimg.com/profile_images/437580198549016576/tBIZ_xKn_normal.jpeg",""
"89","RT @DrinkUpPH: Recognize any of these logos? Catch them all at the country's ultimate drinking festival, #drinkupph, on May 24! http://t.co…","Sat May 24 09:25:12 +0000 2014","BoracayTOURIST","BoracayTOURIST Map","https://pbs.twimg.com/profile_images/378800000239053880/5d92ce9f7f44c584a1253774391fba3b_normal.jpeg","http://pbs.twimg.com/media/Blonpf6IcAAh8yb.jpg"
"88","At the Bavaria booth with @cana_marco 🍻 #DrinkUpPH http://t.co/3YCqTV91Zj","Sat May 24 09:20:38 +0000 2014","jennyocana","Jenny Ocana","https://pbs.twimg.com/profile_images/427438262580281344/VVI1LmMX_normal.jpeg","http://pbs.twimg.com/media/BoY-y1fCMAAdBJS.jpg"
